location,population,total_deaths,people_fully_vaccinated,total_tests,total_cases,percent_pop_infected,stringency_index,median_age,percent_pop_vaccinated,death_percent_from_cases
El Salvador,6518500,4132,4310010,1805368,162755,2.4968167523203193,100,27.6,66.11965943085065,2.5387852907744772
Jamaica,2973462,3056,698448,1064613,137266,4.61636974005385,87.04,31.4,23.489387118449805,2.226334270686113
Portugal,10167923,23115,8852168,42624557,4683018,46.05678072109712,87.96,46.2,87.05974661688528,0.4935919528816673
Nauru,10873,,8585,,,,,,78.95704957233515,
Cuba,11317498,8529,9964059,5296762,1105319,9.766460749540224,100,43.1,88.04118189373659,0.7716324427608681
Laos,7379358,756,5052438,1029081,209989,2.845626950203527,96.3,24.4,68.46717559982861,0.360018858130664
Trinidad and Tobago,1403374,3917,712537,745186,161584,11.513965628549482,92.59,36.2,50.773136740455506,2.4241261511040695
Nicaragua,6702379,238,4799046,193508,18491,0.275887114112765,24.07,27.3,71.60212813987393,1.287112649397004
Singapore,5453600,1389,4990011,,1303294,23.897865630042542,82.41,42.4,91.49939489511515,0.10657610638888845
Chad,16914985,193,2089261,216097,7417,0.043848693924351693,88.89,16.7,12.351539182565045,2.602130241337468
Libya,6958538,6430,1142804,,502016,7.2143889995283494,100,29,16.423047484974575,1.2808356705762367
Micronesia (country),116255,,,,30,0.02580534170573309,,23,,
South Korea,51305184,24197,44587573,48869746,18119415,35.31692820748874,82.41,43.4,86.90656484147878,0.13354183896113644
Cayman Islands,66498,28,59105,9358,25318,38.07332551354928,,,88.88237240217751,0.11059325381151751
Malaysia,32776195,35676,27065392,59770593,4506510,13.74933850619329,85.19,29.9,82.57636983182459,0.7916547394768901
Slovakia,5449270,20100,2767384,51171354,2542564,46.658800169563996,87.04,41.2,50.78449039963151,0.7905405724300352
Tunisia,11935764,28641,6370393,4607327,1042935,8.737898973203558,90.74,32.7,53.37231031042504,2.746192236333041
Saint Vincent and the Grenadines,111269,107,30597,107074,9447,8.49023537553137,,31.8,27.498225022243396,1.1326346988461946
Sri Lanka,21497306,16517,14498278,7670340,663834,3.0879869319439375,100,34.1,67.44230184005382,2.488122030507627
Sudan,44909351,4942,3631390,562941,62355,0.13884636186347918,87.04,19.7,8.08604426280843,7.92558736268142
Liechtenstein,38254,85,26418,90632,17469,45.66581272546662,67.59,,69.05944476394626,0.4865762207338714
Turkmenistan,6117933,,2920000,,,,75,26.9,47.72853838052819,
Malawi,19647681,2640,1139589,582844,85985,0.4376343447351369,64.81,18.1,5.800119617170087,3.070302959818573
Taiwan,23855008,2255,19006359,11058044,2032983,8.522248242381641,76.85,42.2,79.6745027291544,0.11092075044405192
Tokelau,1368,,968,,,,,,70.76023391812866,
Guinea-Bissau,2015490,171,341495,138599,8269,0.41027243995256735,,19.4,16.943522418865882,2.0679646873866244
Hong Kong,7552800,9378,6327350,49426686,1212699,16.056283762313313,75,44.8,83.77489143099248,0.7733163794148424
North Korea,25887045,6,,64207,1,0.000003862936074781807,,35.3,,600
Paraguay,7219641,18894,3425591,2609819,650661,9.012373329920422,94.44,26.5,47.44821799311074,2.9038162729900825
Venezuela,28704947,5721,14287370,,523654,1.8242639500431757,97.22,29,49.773197630359675,1.0925152868115204
Cote d'Ivoire,27053629,799,5437294,1521014,82215,0.30389638299541993,80.56,18.7,20.098205678801907,0.9718421212674087
Benin,12451031,163,2628115,604310,26952,0.21646400205733965,70.83,18.8,21.107609482299097,0.6047788661323835
Italy,60367471,166697,47933766,220786003,17421410,28.85893629700009,93.52,47.9,79.40330314649093,0.9568513685172441
Mali,20855724,734,1128333,696047,31097,0.14910534872824363,75,16.4,5.410183794146873,2.3603563044666687
